The following is a CSV of 438 Korean vocabulary words. The first column is the word and the second column is the English meaning of the word. Please wait for my next command.

Front,Back
차,tea/ car
사과,apple/ apology
가다,to go
보다,to see/ to look at
먹다,to eat
네,yes
아니요,no
커피,coffee
물,water
가방,bag
사무실,office
학교,school
저,I/ that (over there)
뭐,what
책,book
카메라,camera
사전,dictionary/ prior/ beforehand
사람,person/ people
우유,milk
학생,student
사랑,love
노래,song
일하다,to work
고양이,cat
날씨,weather
오늘,today
좋다,to be good/ be nice/ to like
하다,to do
오다,to come
사다,to buy
마시다,to drink
자다,to sleep
있다,to exist/ to have/ to stay
친구,friend/ same age person
돈,money
일어나다,to wake up/ get up/ to happen
의자,chair
밥,rice (cooked)/ meal
엄마,mom
더,more
영화,movie
읽다,to read
놀다,to hang out/ to play
쉬다,to rest/ take a rest
고향,hometown
웃다,to laugh/ smile
요리,cooking/ dish
적다,to be few/ little;to write down/ fill out
끝나다,to end/ be over
팔다,to sell
어디,where
한국,Korea
지금,now
도착하다,to arrive
내일,tomorrow
머리,head/ hair
여행,trip/ travel
기다리다,to wait
쓰다,to write/ to use
나중에,later
어제,yesterday
공부하다,to study
청소하다,to clean up/ to vacuum
노래하다,to sing
운동하다,to work out/ to exercise
사랑하다,to love
말,words/ language/ horse
가게,shop/ store
누구,who
전화,telephone
은행,bank
만들다,to make
어떻게,how
왜,why
얼마,how much (money)
얼마나,how + adjective/adverb
빨리,quickly
찾다,to look for/ to find/ to withdraw (money)
말하다,to speak
내다,to pay/ to hand in;
도서관,library
옷,clothes
자주,often
크다,to be big/ to grow
서울,Seoul
여기,here
아침,morning/ breakfast
선물,present/ gift
남자,man/ male
한국어,Korean (language)
생각하다,to think
아내,wife
눈,eye/ snow
음악,music
저녁,evening/ dinner
의사,doctor/ physician/ intention/ idea
미국,USA
일본,Japan
아이스크림,ice cream
영어,English (language)
만나다,to meet
거기,there
금요일,Friday
정말,really/ seriously
입다,to put on/ wear
여자,woman/ female
생일,birthday
치마,skirt
비,rain
방,a room
텔레비전,TV
번,time (first/ second...)
아이,child
여러분,everyone/ ladies and gentlemen
음식,food
그리고,and
빵,bread
그래서,therefore
많이,a lot/ many/ plenty
같이,together
춤추다,to dance
선생님,teacher
컴퓨터,computer
피곤하다,to be tired
새,new/ bird
월요일,Monday
화요일,Tuesday
좋아하다,to like
오렌지,orange
딸기,strawberry
매일,every day
그런데,by the way/ but then
배,pear/ stomach/ boat
수박,watermelon
그렇지만,but/ however
늦게,late
밤,night/ chestnut
시험,exam/ test
받다,to receive/ accept/ to take
모르다,to not know
나오다,to come out
초콜릿,chocolate
고기,meat
수요일,Wednesday
목요일,Thursday
그럼,then/ if so/ that's right
식당,restaurant/ cafeteria/ diner
병원,hospital
닫다,to close
수영하다,to swim
배우다,to learn
분,minute/ person (hon.)
보통,usually/ normally
수업,class/ instruction
지하철,subway
중요하다,to be important
개,dog/ thing (count.)
연필,pencil
몇,how many
다,all
시장,market/ mayor
토요일,Saturday
일요일,Sunday
듣다,to listen/ to hear
잠,sleep/ nap
화장실,toilet/ bathroom
공항,airport
이름,name
여동생,younger sister
취미,hobby
살다,to live
대학교,college
가르치다,to teach
태어나다,to be born
바쁘다,to be busy
가족,family
직업,job/ occupation
주다,to give
이야기하다,to talk
앉다,to sit/ sit down
싫어하다,to dislike
버스,bus
주스,juice
아직,yet/ still
점심,lunch/ afternoon
올해,this year
극장,movie theater/ theater
신문,newspaper
잡다,to catch/ grab/ take
준비하다,to prepare
일찍,early
바지,pants
조금,a little
비싸다,to be expensive
빠르다,to be quick/ fast
멀다,to be far
나쁘다,to be bad
덥다,to be hot (regarding the weather)
운전하다,to drive
잘못하다,to make a mistake
숙제,homework
자전거,bicycle
찍다,to take a picture/ to mark/ stamp/ dip into/ chop
사진,picture/ photo
계획,plan/ project
알다,to know/ understand
가깝다,to be close
주말,weekend
백화점,department store
회사,company/ corporation
오전,before noon
