저는 고양이예요.,I'm a cat.
저는 학생이에요.,I'm a student.
책이에요.,It's a book.
커피예요.,It's coffee.
저는 가수가 아니에요.,I'm not a singer.
저는 의사가 아니에요.,I'm not a doctor.
저는 서울이랑은 거리가 멀어요.,I'm far from Seoul.
저는 학교랑은 거리가 멀어요.,I'm far from school.
영화 좋아해요.,I like movies.
음악 좋아해요.,I like music.
고양이면 상관 없어요.,It doesn’t matter as long as it's a cat.
책이면 상관 없어요.,It doesn’t matter as long as it's a book.
물 괜찮아요.,I'm okay with water.
빵 괜찮아요.,I'm okay with bread.
영화가 마음에 들어요.,I like the movie.
노래가 마음에 들어요.,I like the song.
사과 안 좋아해요.,I don't like apples.
주스 안 좋아해요.,I don't like juice.
비빔밥 싫어해요.,I dislike bibimbap.
김치 싫어해요.,I dislike kimchi.
영화 좋아하세요?,Do you like movies?
커피 좋아하세요?,Do you like coffee?
영어 잘해요.,I'm good at English.
수영 잘해요.,I'm good at swimming.
그림 잘 못해요.,I'm not very good at drawing.
춤추기 잘 못해요.,I'm not very good at dancing.
돈이 있어요.,I have money.
시간이 있어요.,I have time.
차에 있어요.,It's in the car.
가방에 있어요.,It's in the bag.
우유가 없어요.,I don't have milk.
책이 없어요.,There is no book.
사전 알아요.,I know the dictionary.
주소 알아요.,I know the address.
전화기를 알고 있어요.,I’m aware of the telephone.
한국어를 알고 있어요.,I’m aware of Korean.
그 사람 알아요?,Do you know that person?
이 노래 알아요?,Do you know this song?
공원 잘 몰라요.,I don't know the park well.
이 도시 잘 몰라요.,I don't know this city well.
시장이 뭐예요?,What is a market?
계획이 뭐예요?,What is a plan?
이 단어가 무슨 뜻이에요?,What does this word mean?
영화가 무슨 뜻이에요?,What does "movie" mean?
도서관이 어디 있어요?,Where is the library?
은행이 어디 있어요?,Where is the bank?
날씨가 어때요?,How is the weather?
식당이 어때요?,How is the restaurant?
혹시 우유 있어요?,By any chance do you have milk?
혹시 펜 있어요?,By any chance do you have a pen?
혹시 그 영화 말하는 거예요?,By any chance are you talking about that movie?
혹시 그 사람 말하는 거예요?,By any chance are you talking about that person?
물 주세요.,Please give me water.
맥주 주세요.,Please give me beer.
화장실은 어느 쪽이에요?,Which way is the bathroom?
