"사랑"이 무슨 뜻이에요?,What does "love" mean?
"친구"가 무슨 뜻이에요?,What does "friend" mean?
"행복"이 무슨 뜻이에요?,What does "happiness" mean?
가방이 학교에 있어요.,The bag is at school.
가수가 되고 싶어요?,Do you want to be a singer?
공원은 어느 쪽이에요?,Which way is the park?
그 계획을 좀 알려 주세요.,Please let me know the plan.
그 공연을 완전 기대 중이에요.,I'm really looking forward to that performance.
그 공원에 가 본 적 있어요?,Have you ever been to that park?
그 도시로 가 본 적 있어요?,Have you ever been to that city?
그 만남을 완전 기대 중이에요.,I'm really looking forward to that meeting.
그 사람은 학생처럼 보여요.,He looks like a student.
그 사람이 의사인 것 같아요.,I think that person is a doctor.
그 시간표를 좀 알려 주세요.,Please let me know the timetable.
그 시험은 쉬울 것 같아요.,I think the exam will be easy.
그 여행을 완전 기대 중이에요.,I'm really looking forward to that trip.
그 연극을 본 적 있어요?,Have you ever watched that play?
그 영화가 재미있는 것 같아요.,I think that movie is interesting.
그 영화를 본 적 있어요?,Have you ever seen that movie?
그 장소를 좀 알려 주세요.,Please let me know that place.
그 책을 본 적 있어요?,Have you ever read that book?
김치를 먹어 본 적 있어요?,Have you ever eaten kimchi?
날씨가 어때요?,How is the weather?
날씨가 추운 것 같아요.,I think it's cold.
내일 비가 올 것 같아요.,I think it will rain tomorrow.
냉장고에는 우유밖에 없어요.,There's nothing but milk in the refrigerator.
도서관이 어디 있어요?,Where is the library?
떡볶이를 먹어 본 적 있어요?,Have you ever eaten tteokbokki?
메뉴를 주세요.,Please give me the menu.
물 괜찮아요.,I'm okay with water.
물밖에 없어요.,There is nothing but water.
물을 주세요.,Please give me water.
물이 없어요.,There is no water.
밥 괜찮아요.,I'm okay with a meal.
불고기를 먹어 본 적 있어요?,Have you ever eaten bulgogi?
비가 올 것처럼 보여요.,It looks like it's going to rain.
서울이면 상관 없어요.,It doesn’t matter as long as it's Seoul.
수업이 끝났어요.,The class is over.
시간이 없어요.,There is no time.
엔지니어가 되고 싶어요?,Do you want to be an engineer?
여행을 좋아하세요?,Do you like traveling?
